gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	gex_transf	gene_name_unique
SLC20A1	chr2	112645939	112663825	112658362	112658412	+	0.0	0.0	SLC20A1_X1
C11orf58	chr11	16613132	16758340	16738643	16738693	+	2239.10332840048	11.129349565129262	C11orf58_X1
ZSCAN9	chr6	28224886	28233487	28225263	28225313	+	19.798063595609	4.378377307337431	ZSCAN9_X1
CD19	chr16	28931965	28939342	28931956	28932006	+	411.53062289513394	8.688357406973529	CD19_X1
TMEM123	chr11	102396332	102470384	102452789	102452839	-	34.214129320567004	5.138082507007512	TMEM123_X1
POMC	chr2	25160853	25168903	25168640	25168690	-	0.480535524165267	0.5661191071464707	POMC_X1
NME2	chr17	51165435	51171744	51169382	51169432	+	0.0	0.0	NME2_X1
CEP120	chr5	123344890	123423592	123423542	123423592	-	2.1143563063271698	1.6389340092740403	CEP120_X1
FBXO4	chr5	41925254	41941743	41925253	41925303	+	37.5778779897238	5.26970188374098	FBXO4_X1
GRIA1	chr5	153489615	153813869	153492171	153492221	+	0.0	0.0	GRIA1_X1
GALNT9	chr12	132196372	132328920	132257692	132257742	-	0.0	0.0	GALNT9_X1
AKAIN1	chr18	5142911	5197503	5197453	5197503	-	0.0	0.0	AKAIN1_X1
SYCE1L	chr16	77199408	77213215	77199396	77199446	+	0.0	0.0	SYCE1L_X1
GOLGA8S	chr15	23354748	23367231	23354747	23354797	+	0.0	0.0	GOLGA8S_X1
CAST	chr5	96525267	96779595	96702788	96702838	+	248.24465178377704	7.961418737817237	CAST_X1
FBXW12	chr3	48372219	48401259	48379736	48379786	+	0.0	0.0	FBXW12_X1
DIRAS2	chr9	90609832	90642862	90643054	90643104	-	0.0	0.0	DIRAS2_X1
WDR7	chr18	56651343	57029811	56890832	56890882	+	0.0	0.0	WDR7_X1
MMP1	chr11	102789401	102798160	102798110	102798160	-	0.0	0.0	MMP1_X1
SREBF2	chr22	41833079	41907307	41885595	41885645	+	0.0	0.0	SREBF2_X1
SLC38A3	chr3	50205246	50221486	50205267	50205317	+	0.0	0.0	SLC38A3_X1
PCDHGA11	chr5	141421047	141512975	141421046	141421096	+	10.956209950968098	3.579688230953869	PCDHGA11_X1
ZNF707	chr8	143684452	143713898	143684461	143684511	+	29.697095393413505	4.9400302469073845	ZNF707_X1
ACTR6	chr12	100199122	100241865	100199121	100199171	+	0.0	0.0	ACTR6_X1
POLR3K	chr16	46407	53608	52092	52142	-	0.0	0.0	POLR3K_X1
POLR2F	chr22	37952607	38041915	37953662	37953712	+	176.45264447348598	7.471290263978351	POLR2F_X1
CSDC2	chr22	41561010	41577741	41572016	41572066	+	0.0	0.0	CSDC2_X1
POGLUT3	chr11	108472112	108498384	108486187	108486237	-	0.0	0.0	POGLUT3_X1
ASB16	chr17	44170447	44179084	44170705	44170755	+	0.0	0.0	ASB16_X1
GRIK2	chr6	100962701	102081622	101927778	101927828	+	0.0	0.0	GRIK2_X1
LY6G6E	chr6	31711771	31714065	31713762	31713812	-	0.0	0.0	LY6G6E_X1
ADAM2	chr8	39743735	39838227	39838177	39838227	-	0.0	0.0	ADAM2_X1
OR6M1	chr11	123805408	123806349	123806337	123806387	-	0.0	0.0	OR6M1_X1
MCF2L2	chr3	183178041	183428778	183180263	183180313	-	0.0	0.0	MCF2L2_X1
C3orf18	chr3	50558025	50571027	50567626	50567676	-	3.07542735465771	2.026951350170348	C3orf18_X1
CLEC4E	chr12	8533305	8540905	8540855	8540905	-	0.0	0.0	CLEC4E_X1
TXN	chr9	110243810	110256507	110245066	110245116	-	0.0	0.0	TXN_X1
CD109	chr6	73695785	73828316	73792654	73792704	+	0.0	0.0	CD109_X1
CNTNAP3	chr9	39064710	39288315	39088423	39088473	-	0.0	0.0	CNTNAP3_X1
MAD1L1	chr7	1815793	2233243	2230611	2230661	-	0.0	0.0	MAD1L1_X1
CYP51A1	chr7	92084987	92134803	92134480	92134530	-	189.763478492864	7.57564118480484	CYP51A1_X1
ALK	chr2	29192774	29921586	29717650	29717700	-	0.0	0.0	ALK_X1
CABP4	chr11	67452406	67461752	67452418	67452468	+	0.0	0.0	CABP4_X1
MYF5	chr12	80716912	80719671	80716911	80716961	+	0.0	0.0	MYF5_X1
