gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand
SLC20A1	chr2	112645939	112663825	112658362	112658412	+
C11orf58	chr11	16613132	16758340	16738643	16738693	+
ZSCAN9	chr6	28224886	28233487	28225263	28225313	+
CD19	chr16	28931965	28939342	28931956	28932006	+
TMEM123	chr11	102396332	102470384	102452789	102452839	-
POMC	chr2	25160853	25168903	25168640	25168690	-
NME2	chr17	51165435	51171744	51169382	51169432	+
CEP120	chr5	123344890	123423592	123423542	123423592	-
FBXO4	chr5	41925254	41941743	41925253	41925303	+
GRIA1	chr5	153489615	153813869	153492171	153492221	+
GALNT9	chr12	132196372	132328920	132257692	132257742	-
AKAIN1	chr18	5142911	5197503	5197453	5197503	-
SYCE1L	chr16	77199408	77213215	77199396	77199446	+
GOLGA8S	chr15	23354748	23367231	23354747	23354797	+
CAST	chr5	96525267	96779595	96702788	96702838	+
FBXW12	chr3	48372219	48401259	48379736	48379786	+
DIRAS2	chr9	90609832	90642862	90643054	90643104	-
WDR7	chr18	56651343	57029811	56890832	56890882	+
MMP1	chr11	102789401	102798160	102798110	102798160	-
SREBF2	chr22	41833079	41907307	41885595	41885645	+
SLC38A3	chr3	50205246	50221486	50205267	50205317	+
PCDHGA11	chr5	141421047	141512975	141421046	141421096	+
ZNF707	chr8	143684452	143713898	143684461	143684511	+
ACTR6	chr12	100199122	100241865	100199121	100199171	+
POLR3K	chr16	46407	53608	52092	52142	-
POLR2F	chr22	37952607	38041915	37953662	37953712	+
CSDC2	chr22	41561010	41577741	41572016	41572066	+
POGLUT3	chr11	108472112	108498384	108486187	108486237	-
ASB16	chr17	44170447	44179084	44170705	44170755	+
GRIK2	chr6	100962701	102081622	101927778	101927828	+
LY6G6E	chr6	31711771	31714065	31713762	31713812	-
ADAM2	chr8	39743735	39838227	39838177	39838227	-
OR6M1	chr11	123805408	123806349	123806337	123806387	-
MCF2L2	chr3	183178041	183428778	183180263	183180313	-
C3orf18	chr3	50558025	50571027	50567626	50567676	-
CLEC4E	chr12	8533305	8540905	8540855	8540905	-
TXN	chr9	110243810	110256507	110245066	110245116	-
CD109	chr6	73695785	73828316	73792654	73792704	+
CNTNAP3	chr9	39064710	39288315	39088423	39088473	-
MAD1L1	chr7	1815793	2233243	2230611	2230661	-
CYP51A1	chr7	92084987	92134803	92134480	92134530	-
ALK	chr2	29192774	29921586	29717650	29717700	-
CABP4	chr11	67452406	67461752	67452418	67452468	+
MYF5	chr12	80716912	80719671	80716911	80716961	+
NUP42	chr7	23181841	23201011	23194402	23194452	+
APEH	chr3	49674014	49683971	49674359	49674409	+
TMEM41B	chr11	9280654	9314636	9314583	9314633	-
SEC61A2	chr10	12129637	12169961	12129693	12129743	+
PDE2A	chr11	72576141	72674591	72674400	72674450	-
SI	chr3	164978898	165078496	165075964	165076014	-
KIF3B	chr20	32277651	32335011	32277663	32277713	+
ARHGDIB	chr12	14942031	14961728	14961216	14961266	-
RGS11	chr16	268301	275980	275864	275914	-
NQO2	chr6	2987987	3019755	3000157	3000207	+
APBB1	chr11	6395125	6419414	6419061	6419111	-
TBC1D3I	chr17	36355285	36366216	36264503	36264553	-
PBK	chr8	27809624	27838082	27837759	27837809	-
VPS37A	chr8	17246931	17302427	17247122	17247172	+
FAS	chr10	88953813	89029605	88990851	88990901	+
GTF3C2	chr2	27325849	27357034	27337258	27337308	-
P4HA1	chr10	73007217	73096974	73096800	73096850	-
ZNF680	chr7	64519878	64563075	64563025	64563075	-
NT5DC1	chr6	116100851	116249497	116110851	116110901	+
GPR6	chr6	109978256	109980720	109979112	109979162	+
CNNM2	chr10	102918294	103090222	102918292	102918342	+
LRP4	chr11	46856717	46918642	46889637	46889687	-
RAET1L	chr6	150018334	150025532	150025482	150025532	-
RGL4	chr22	23688136	23699176	23691305	23691355	+
NUP43	chr6	149724315	149749665	149746502	149746552	-
PSMC5	chr17	63827152	63832026	63827432	63827482	+
HSPA12B	chr20	3732685	3753111	3732710	3732760	+
CSTF2T	chr10	51695486	51699595	51699541	51699591	-
SPPL2C	chr17	45844881	45847067	45844834	45844884	+
CLPSL1	chr6	35781019	35793675	35781016	35781066	+
MRO	chr18	50795120	50825402	50819786	50819836	-
TUT1	chr11	62575045	62591637	62591587	62591637	-
NHLRC3	chr13	39038306	39050109	39038310	39038360	+
TYSND1	chr10	70137981	70146700	70146626	70146676	-
QRICH1	chr3	49029707	49094363	49093561	49093611	-
AP3S1	chr5	115841592	115914081	115895086	115895136	+
BSX	chr11	122977570	122981834	122981670	122981720	-
CHD6	chr20	41402083	41618384	41499294	41499317	-
B3GALT4	chr6	33255053	33256746	33278687	33278737	+
RNF216	chr7	5620047	5781696	5649965	5650015	-
LRFN2	chr6	40391591	40587364	40587415	40587465	-
CCDC28A	chr6	138773769	138793319	138773768	138773818	+
PRPSAP1	chr17	76309478	76384521	76384471	76384521	-
OR5T1	chr11	56275639	56276619	56275638	56275688	+
PPP1R2B	chr5	156850295	156852528	156850562	156850612	+
ADH7	chr4	99412261	99435510	99430241	99430291	-
PTPN18	chr2	130356045	130375405	130358949	130358975	+
MET	chr7	116672196	116798377	116758516	116758566	+
KCNIP2	chr10	101825974	101843920	101843518	101843568	-
ENDOD1	chr11	95089846	95132645	95089809	95089859	+
TAAR5	chr6	132588592	132589741	132589636	132589686	-
EPM2AIP1	chr3	36985043	36993131	36992890	36992940	-
MAMDC4	chr9	136850943	136860799	136852366	136852416	+
CDK7	chr5	69234793	69277413	69234840	69234890	+
IFNA7	chr9	21201469	21202205	21202155	21202205	-
CYLC2	chr9	102995311	103018488	102995310	102995360	+
SMG6	chr17	2059839	2303785	2214299	2214349	-
GJB6	chr13	20221962	20232365	20232345	20232395	-
RGPD4	chr2	107826892	107892544	107826936	107826986	+
OST4	chr2	27070472	27071654	27071600	27071649	-
TRA2A	chr7	23504780	23532041	23531973	23532023	-
SNTB1	chr8	120535745	120813273	120812093	120812143	-
OR5V1	chr6	29355241	29431509	29431917	29431967	-
ARHGDIA	chr17	81867721	81871378	81870924	81870974	-
GATA5	chr20	62463497	62475995	62475929	62475970	-
ITPRIPL2	chr16	19113932	19121629	19113931	19113981	+
UNCX	chr7	1232872	1237326	1232906	1232956	+
RBM18	chr9	122237622	122264840	122264789	122264839	-
MCPH1	chr8	6406592	6648508	6406642	6406689	+
CDCA3	chr12	6844793	6851292	6851242	6851292	-
SMC1B	chr22	45344063	45413619	45413569	45413619	-
FOXP2	chr7	114086327	114693772	114416285	114416335	+
WDFY4	chr10	48684873	48982956	48684875	48684925	+
PTTG1IP2	chr7	90469639	90513397	90469786	90469836	+
NDUFS1	chr2	206114817	206159509	206159375	206159425	-
USP13	chr3	179653032	179804366	179652754	179652804	+
DNAL4	chr22	38778508	38794198	38794148	38794198	-
SPATA2	chr20	49903391	49915529	49913689	49913739	-
AADACL2	chr3	151744454	151770036	151733926	151733976	+
OR3A3	chr17	3411370	3424070	3420567	3420617	+
KRT1	chr12	52674736	52680407	52680357	52680407	-
ZNF502	chr3	44712639	44723827	44712642	44712692	+
DMAC1	chr9	7796500	7888380	7800098	7800148	-
PTCH1	chr9	95442980	95517057	95516608	95516658	-
SEPTIN8	chr5	132750819	132807241	132777211	132777261	-
SUDS3	chr12	118376555	118418033	118403500	118403517	+
SPATA2L	chr16	89696357	89701705	89701655	89701705	-
SLC15A2	chr3	121894401	121944188	121894439	121894489	+
ADO	chr10	62804720	62808479	62804856	62804906	+
FEZF2	chr3	62369681	62374324	62372965	62373015	-
ISM1	chr20	13221274	13300651	13221770	13221820	+
GFRA4	chr20	3659248	3663399	3663353	3663399	-
HTRA1	chr10	122458551	122514907	122461524	122461574	+
CASP2	chr7	143288215	143307696	143291617	143291667	+
CACNA2D4	chr12	1791963	1918666	1918616	1918666	-
SRRM3	chr7	76201896	76287288	76234981	76235031	+
FLI1	chr11	128686535	128813267	128692981	128693031	+
GRHL1	chr2	9951693	10002277	9951692	9951742	+
CALM2	chr2	47160084	47176921	47176461	47176511	-
GRB7	chr17	39737927	39747291	39737961	39738011	+
RNF217	chr6	124962437	125092633	124983363	124983413	+
ATP7B	chr13	51930436	52012125	52011444	52011494	-
ST8SIA3	chr18	57352557	57371731	57357151	57357201	+
INS	chr11	2159779	2161221	2161154	2161204	-
TMEM200A	chr6	130366017	130443067	130366280	130366330	+
SLC25A20	chr3	48856926	48898904	48898854	48898904	-
RAG1	chr11	36510709	36593156	36568024	36568074	+
OR13A1	chr10	45302654	45315608	45307788	45307838	-
FAM126B	chr2	200973718	201071671	201045507	201045557	-
PLEKHO2	chr15	64841883	64868002	64841888	64841938	+
ARL16	chr17	81681187	81683797	81683609	81683659	-
ARFGAP1	chr20	63272785	63289790	63287655	63287705	+
SH3BP4	chr2	234952017	235055714	234981623	234981673	+
RNASET2	chr6	166922113	166957191	166956493	166956543	-
USP19	chr3	49108046	49120938	49120781	49120831	-
THRA	chr17	40058290	40093867	40058289	40058339	+
DOCK10	chr2	224765090	225042468	224807910	224807933	-
OVOL2	chr20	17956979	18059188	18059138	18059188	-
FAXC	chr6	99271168	99350062	99284162	99284212	-
STAC3	chr12	57243453	57251188	57251138	57251188	-
DPYSL3	chr5	147390808	147510068	147454216	147454266	-
RBX1	chr22	40951347	40973309	40951346	40951396	+
ACACA	chr17	37086456	37411442	37225521	37225571	-
PPP4R2	chr3	72996803	73069198	72996976	72997026	+
KCNK9	chr8	139600838	139704109	139703006	139703056	-
SMDT1	chr22	42079691	42084284	42079690	42079740	+
FADS2	chr11	61792980	61867354	61827391	61827431	+
ANTXRL	chr10	46286345	46330207	46286344	46286394	+
HPX	chr11	6431049	6442617	6441016	6441066	-
CHRM2	chr7	136868652	137020255	136868777	136868827	+
MTERF2	chr12	106977277	106987160	106987110	106987160	-
DAP	chr5	10679230	10761234	10761086	10761136	-
TMEM129	chr4	1715952	1721358	1717859	1717909	-
ARRDC1	chr9	137605685	137615360	137614164	137614214	+
SHC4	chr15	48823741	48963919	48877439	48877489	-
PRAME	chr22	22556806	22568466	22559239	22559289	-
PIP5KL1	chr9	127920881	127930785	127927152	127927186	-
TBC1D20	chr20	423596	462566	462503	462553	-
ADCY5	chr3	123282296	123449090	123419159	123419209	-
CCDC110	chr4	185445182	185471752	185471709	185471759	-
